member_casual,hour_of_the_day,count
member,17,273657
member,18,228358
member,16,216678
casual,17,195957
casual,18,176258
casual,16,167970
member,15,165066
member,19,161172
casual,15,153286
member,8,149614
member,12,147005
casual,14,146229
member,13,144174
casual,13,142254
member,14,142082
casual,19,135029
casual,12,133422
member,7,130375
member,11,126942
casual,11,112436
member,9,108233
member,20,106330
member,10,105440
casual,20,97973
casual,10,85322
casual,21,82710
member,21,77269
casual,22,76417
member,6,71634
casual,9,60885
casual,23,58739
member,22,58572
casual,8,49678
casual,0,42321
member,23,39954
casual,7,36024
casual,1,30667
member,5,25571
member,0,25237
casual,2,19579
casual,6,19406
member,1,16362
casual,3,10220
member,2,8976
casual,5,8823
casual,4,6688
member,4,5996
member,3,5104
